schema,order,defining_length,num_generations,num_matches,num_expected_matches,schema_fitness,population_fitness
0.....01,3,7,40,9975,466.43995552248776,22068870.032718796,316275159.603472
0.....01,3,7,41,9989,540.2857194184236,21423330.12780158,104096449.53360899
0.....01,3,7,42,9986,1595.7639403324397,71030700.69935107,200951854.34002796
0.....01,3,7,43,9982,2739.9410135891176,63700929.43353335,165608366.47469097
0.....01,3,7,44,9970,2980.4142549151093,21523802.00892277,126306869.02690403
0.....01,3,7,45,9974,1318.8115677429528,21953259.091741532,225445354.21912196
0.....01,3,7,46,9983,753.9154570260889,21951954.67977462,151781277.88353193
0.....01,3,7,47,9989,1120.757449872134,21061755.2837221,72720721.01614198
0.....01,3,7,48,9980,2245.7115369260378,22193917.350566134,223383490.75067392
0.....01,3,7,49,9991,769.6778761041708,21687557.48732259,157876398.09592095
0.....01,3,7,50,9985,1065.363868046173,22627838.09647271,227657898.24418795
0.....01,3,7,51,9979,770.3781926560347,22524203.90908508,180680560.04465795
0.....01,3,7,52,9998,965.6519363048421,33060843.218639735,50727014.68570198
0.....01,3,7,53,9986,5058.052405771884,30506496.48220809,210015463.05354694
0.....01,3,7,54,9986,1125.973564352686,21758424.648793314,168933120.84507596
0.....01,3,7,55,9982,998.3889730603718,21556555.991547786,217411947.61555392
0.....01,3,7,56,9978,768.2615643722595,39160563.850681506,309994155.22001696
0.....01,3,7,57,9988,978.4406809545676,16483539.39988186,168842326.620975
0.....01,3,7,58,9984,756.9082640218038,66429008.21523236,179856497.409264
0.....01,3,7,59,9982,2862.409601824238,52863019.83412141,175804016.35338703
0.....01,3,7,60,9973,2329.8948026580324,21593631.848462846,378148756.95112604
0.....01,3,7,61,9973,442.0632431121747,69012766.07934324,334411703.708896
0.....01,3,7,62,9977,1597.604797319808,10803392.037768867,312198902.96456194
0.....01,3,7,63,9986,267.99352834146947,8033448.643379731,179068993.933055
0.....01,3,7,64,9984,347.75129867869475,3841394.5374108567,217887091.38025203
0.....01,3,7,65,9994,136.63361413974206,2365626.543021813,52710844.650943995
0.....01,3,7,66,9982,348.1618046862391,35997602.07457123,209309931.6463
0.....01,3,7,67,9984,1332.5909892184163,9535468.254108576,95207887.194878
0.....01,3,7,68,9986,776.1921391312519,594599.1449319046,150130785.76740202
0.....01,3,7,69,9989,30.700231840942422,2193985.384048453,102549710.06574199
