schema,order,defining_length,num_generations,num_matches,num_expected_matches,schema_fitness,population_fitness
0......1,2,7,26,9996,450.459826335832,4357800.283591436,68370757.16373698
0......1,2,7,27,9980,499.5552839293943,18876713.983507015,179882454.712586
0......1,2,7,28,9968,821.1613642914275,4039893.9766843887,364608657.37085295
0......1,2,7,29,9967,86.5987048081964,3438696.304252032,357341729.86392295
0......1,2,7,30,9971,75.20295758256636,3511889.0693651587,227722749.94888797
0......1,2,7,31,9963,120.56839013132023,78298330.45994881,353913135.18740696
0......1,2,7,32,9983,1728.2490501897887,3680659.913685265,90696032.85558799
0......1,2,7,33,9978,317.65730543109726,46081542.27108339,236028660.384127
0......1,2,7,34,9991,1527.446965583633,3870634.25601141,55380525.99315
0......1,2,7,35,9970,547.5129487957129,22903980.436662987,286734757.7499
0......1,2,7,36,9976,624.4334472158224,70902601.7731686,298787845.049558
0......1,2,7,37,9968,1856.162791371628,1518993.563868379,326429665.344275
0......1,2,7,38,9971,36.369281339379185,3977196.636910039,372225262.590852
0......1,2,7,39,9988,83.53535277112444,25192000.09350721,121184578.11861499
0......1,2,7,40,9989,1627.9992625700809,4458032.071988187,126817289.032623
0......1,2,7,41,9985,275.3259287020871,1387518.0641612415,109246091.62909898
0......1,2,7,42,9971,99.4354360694198,60035234.44806838,384443210.3161779
0......1,2,7,43,9996,1220.880362283532,55752636.348670475,114745181.989499
0......1,2,7,44,9986,3808.180922264885,53080943.38333567,194708712.688183
0......1,2,7,45,9978,2134.544362482707,58401382.41156643,307168879.064807
0......1,2,7,46,9988,1487.4753939051993,81612971.18056467,263227411.61575103
0......1,2,7,47,9986,2428.102329191491,16149439.892384335,173166373.84751302
0......1,2,7,48,9988,730.2067437175916,109064977.40481377,301982642.408384
0......1,2,7,49,9989,2828.409209264365,63691623.36089896,125970748.26976097
0......1,2,7,50,9987,3959.9982908047086,269339.7668358866,79455423.05363098
0......1,2,7,51,9992,26.54436628405175,28009134.382724173,114674864.11521797
0......1,2,7,52,9983,1913.5695633429455,4596906.258469399,188301943.243139
0......1,2,7,53,9992,191.08750633837406,3479954.8709517615,86498116.35350098
0......1,2,7,54,9974,315.1953221341259,26940378.12048727,230421158.15746704
0......1,2,7,55,9979,914.347058005596,36336030.0728049,319330987.13121897
0......1,2,7,56,9983,890.3152484678013,44642409.98940901,217443279.06535503
0......1,2,7,57,9984,1607.0266921697516,4624917.187778446,238676211.912038
0......1,2,7,58,9966,151.69098551881993,3271984.4835540834,382189095.1228699
0......1,2,7,59,9975,66.89816466961119,39823332.29589274,290453423.49616194
0......1,2,7,60,9981,1072.3446229584117,42110184.29337342,115215059.53973
0......1,2,7,61,9959,2860.3048682288636,23621955.56435084,261084552.73565307
0......1,2,7,62,9986,706.4977442615988,17780685.363136396,92774591.04023102
0......1,2,7,63,9988,1500.6222664780587,4220517.323354025,122745174.941321
0......1,2,7,64,9983,269.277562772471,25635203.70653711,155457586.082586
0......1,2,7,65,9983,1290.7623836172236,9527456.335233899,222393119.891873
0......1,2,7,66,9994,335.3335965347488,9398387.007977786,117419894.18174502
0......1,2,7,67,9990,627.2076707414594,3894849.9199249246,128922449.02195498
0......1,2,7,68,10000,236.63993931498905,41388638.33327,41388638.33327
0.....0.,2,6,0,2512,0,50976503165.902855,88018014427.86517
